chrom	start	end	strand	total_mapped_reads	unique_mapped_reads	shared_reads	feature	annotation_group	best_feature	best_feature_JS
chr1	629571	629622	+	33	0	33	MT-TM(Mt_tRNA),URS000004104A_9606(tRNA),URS000004CD95_9606(tRNA),URS000006D24F_9606(tRNA),URS000006E464_9606(tRNA),URS00000CDC85_9606(tRNA),URS000012560A_9606(tRNA),URS00001514AC_9606(tRNA),URS000016E495_9606(tRNA),URS00001771F0_9606(tRNA),URS0000198468_9606(tRNA),URS00002116D6_9606(tRNA),URS000022D70F_9606(tRNA),URS000028B0CA_9606(tRNA),URS000029471C_9606(tRNA),URS00002C70E1_9606(tRNA),URS00002D6C4C_9606(tRNA),URS00002E11B0_9606(tRNA),URS000032DA45_9606(tRNA),URS00003BAAEC_9606(tRNA),URS00003BD079_9606(tRNA),URS00003BD296_9606(tRNA),URS000040608E_9606(tRNA),URS00004768E7_9606(tRNA),URS00004A64D0_9606(tRNA),URS00004F3A6C_9606(tRNA),URS000058ABCE_9606(tRNA),URS00005AA786_9606(tRNA),URS00006045B9_9606(tRNA),URS000060EDEE_9606(tRNA),URS0000734079_9606(tRNA),URS00007627D9_9606(tRNA),URS0000767F97_9606(tRNA),URS000076EE6F_9606(tRNA),URS000077A336_9606(tRNA),URS00007816CE_9606(tRNA),URS0000785BDB_9606(tRNA),URS000078EA85_9606(tRNA),URS00007AFD01_9606(tRNA),URS00009B1A3D_9606(lncRNA),URS00009BCEB9_9606(lncRNA),URS00009C24C1_9606(lncRNA),URS00009C52E9_9606(lncRNA),URS00009FC39C_9606(tRNA),URS00009FCF3B_9606(tRNA),URS00009FDB49_9606(tRNA),URS0000A00F79_9606(tRNA),URS0000A16893_9606(tRNA),URS0000A19F47_9606(tRNA),URS0000A38EFA_9606(tRNA),URS0000A44C08_9606(tRNA),URS0000B81AA6_9606(tRNA),URS0000D77905_9606(tRNA),URS0000DBC2F8_9606(tRNA),URS0000DC1407_9606(tRNA),URS0000DC36BE_9606(tRNA),URS0000DC5E62_9606(tRNA),URS0000DCA1D2_9606(tRNA),URS0000DCB48E_9606(tRNA),URS0000DCB9BF_9606(tRNA),URS0000DCBB5E_9606(tRNA),URS0000DCF513_9606(tRNA),URS0000DD1716_9606(tRNA),URS0000DD371E_9606(tRNA),URS0000DD379C_9606(tRNA),URS0000DD4F76_9606(tRNA),URS0000DD8D9B_9606(tRNA),URS0000DE0DC0_9606(tRNA),URS0000DE44D1_9606(tRNA),URS0000DEAF1C_9606(tRNA),URS0000DED4EC_9606(tRNA),URS0000DED9FE_9606(tRNA),URS0000DEF114_9606(tRNA),URS0000DEF561_9606(tRNA),URS0000DF1732_9606(tRNA),URS0000E49904_9606(tRNA),URS00019A2F7A_9606(tRNA),URS00019A4364_9606(tRNA),URS00019D7114_9606(tRNA),URS0001DA32A6_9606(tRNA),URS0001DC1F46_9606(tRNA),URS000219A035_9606(tRNA)	SM-ONLY	URS0000DD8D9B_9606	0.96
chrMT	4401	4452	+	33	0	33	MT-TM(Mt_tRNA),URS000004104A_9606(tRNA),URS000004CD95_9606(tRNA),URS000006D24F_9606(tRNA),URS000006E464_9606(tRNA),URS00000CDC85_9606(tRNA),URS000012560A_9606(tRNA),URS00001514AC_9606(tRNA),URS000016E495_9606(tRNA),URS00001771F0_9606(tRNA),URS0000198468_9606(tRNA),URS00002116D6_9606(tRNA),URS000022D70F_9606(tRNA),URS000028B0CA_9606(tRNA),URS000029471C_9606(tRNA),URS00002C70E1_9606(tRNA),URS00002D6C4C_9606(tRNA),URS00002E11B0_9606(tRNA),URS000032DA45_9606(tRNA),URS00003BAAEC_9606(tRNA),URS00003BD079_9606(tRNA),URS00003BD296_9606(tRNA),URS000040608E_9606(tRNA),URS00004768E7_9606(tRNA),URS00004A64D0_9606(tRNA),URS00004F3A6C_9606(tRNA),URS000058ABCE_9606(tRNA),URS00005AA786_9606(tRNA),URS00006045B9_9606(tRNA),URS000060EDEE_9606(tRNA),URS0000734079_9606(tRNA),URS00007627D9_9606(tRNA),URS0000767F97_9606(tRNA),URS000076EE6F_9606(tRNA),URS000077A336_9606(tRNA),URS00007816CE_9606(tRNA),URS0000785BDB_9606(tRNA),URS000078EA85_9606(tRNA),URS00007AFD01_9606(tRNA),URS00009B1A3D_9606(lncRNA),URS00009BCEB9_9606(lncRNA),URS00009C24C1_9606(lncRNA),URS00009C52E9_9606(lncRNA),URS00009FC39C_9606(tRNA),URS00009FCF3B_9606(tRNA),URS00009FDB49_9606(tRNA),URS0000A00F79_9606(tRNA),URS0000A16893_9606(tRNA),URS0000A19F47_9606(tRNA),URS0000A38EFA_9606(tRNA),URS0000A44C08_9606(tRNA),URS0000B81AA6_9606(tRNA),URS0000D77905_9606(tRNA),URS0000DBC2F8_9606(tRNA),URS0000DC1407_9606(tRNA),URS0000DC36BE_9606(tRNA),URS0000DC5E62_9606(tRNA),URS0000DCA1D2_9606(tRNA),URS0000DCB48E_9606(tRNA),URS0000DCB9BF_9606(tRNA),URS0000DCBB5E_9606(tRNA),URS0000DCF513_9606(tRNA),URS0000DD1716_9606(tRNA),URS0000DD371E_9606(tRNA),URS0000DD379C_9606(tRNA),URS0000DD4F76_9606(tRNA),URS0000DD8D9B_9606(tRNA),URS0000DE0DC0_9606(tRNA),URS0000DE44D1_9606(tRNA),URS0000DEAF1C_9606(tRNA),URS0000DED4EC_9606(tRNA),URS0000DED9FE_9606(tRNA),URS0000DEF114_9606(tRNA),URS0000DEF561_9606(tRNA),URS0000DF1732_9606(tRNA),URS0000E49904_9606(tRNA),URS00019A2F7A_9606(tRNA),URS00019A4364_9606(tRNA),URS00019D7114_9606(tRNA),URS0001DA32A6_9606(tRNA),URS0001DC1F46_9606(tRNA),URS000219A035_9606(tRNA)	SM-ONLY	URS0000DD8D9B_9606	0.96
chr1	629500	629556	+	1277	0	1277	MT-TI(Mt_tRNA),URS00000012EC_9606(tRNA),URS000000DC32_9606(tRNA),URS00000225B7_9606(tRNA),URS000008D191_9606(tRNA),URS00000A2867_9606(tRNA),URS00000A75D2_9606(tRNA),URS00000DFAB7_9606(tRNA),URS00000F6EEF_9606(tRNA),URS00000F70DA_9606(tRNA),URS00001751B9_9606(tRNA),URS000018DD5C_9606(tRNA),URS00001C17EA_9606(tRNA),URS00002375A2_9606(tRNA),URS00002416BA_9606(tRNA),URS000025082B_9606(tRNA),URS0000268D36_9606(tRNA),URS000029799C_9606(tRNA),URS00002DD8DF_9606(tRNA),URS0000301A56_9606(tRNA),URS000035B2D7_9606(tRNA),URS000035D8E2_9606(tRNA),URS0000366CD4_9606(tRNA),URS00003A9CC0_9606(tRNA),URS00003BCE1B_9606(tRNA),URS00003BE447_9606(tRNA),URS00003C4419_9606(tRNA),URS00003DEE1F_9606(tRNA),URS00003EA65E_9606(tRNA),URS00003F05AD_9606(tRNA),URS0000400AFD_9606(tRNA),URS0000455600_9606(tRNA),URS000045DE45_9606(tRNA),URS000047595F_9606(tRNA),URS000048F118_9606(tRNA),URS00004CAA6C_9606(tRNA),URS00004F0373_9606(tRNA),URS000052A3A4_9606(tRNA),URS000058AF3F_9606(tRNA),URS00005B03EF_9606(tRNA),URS00005BC760_9606(tRNA),URS00005D1607_9606(tRNA),URS00005E40B1_9606(tRNA),URS0000602B66_9606(tRNA),URS000060F07A_9606(tRNA),URS000073F530_9606(tRNA),URS000076C388_9606(tRNA),URS000076D7F1_9606(tRNA),URS000076F3F0_9606(tRNA),URS000076FAF1_9606(tRNA),URS0000772095_9606(tRNA),URS0000776367_9606(tRNA),URS000077959F_9606(tRNA),URS0000780DF3_9606(tRNA),URS0000785F64_9606(tRNA),URS00007C40CB_9606(tRNA),URS00007DB19F_9606(tRNA),URS000082F6E4_9606(tRNA),URS000082F8E7_9606(tRNA),URS00009B1A3D_9606(lncRNA),URS00009BCEB9_9606(lncRNA),URS00009C24C1_9606(lncRNA),URS00009C52E9_9606(lncRNA),URS00009E642D_9606(tRNA),URS0000A6A38D_9606(tRNA),URS0000AD97CF_9606(tRNA),URS0000B5BD8D_9606(tRNA),URS0000B8970E_9606(tRNA),URS0000BA48F3_9606(tRNA),URS0000C93A1D_9606(tRNA),URS0000CBCD9D_9606(tRNA),URS0000CBE3E1_9606(tRNA),URS0000DBD6FB_9606(tRNA),URS0000DBE28A_9606(tRNA),URS0000DC56AA_9606(tRNA),URS0000DC62AA_9606(tRNA),URS0000DC8207_9606(tRNA),URS0000DCBD36_9606(tRNA),URS0000DCBECE_9606(tRNA),URS0000DCCD87_9606(tRNA),URS0000DCD0F0_9606(tRNA),URS0000DD21F6_9606(tRNA),URS0000DD3C38_9606(tRNA),URS0000DD4947_9606(tRNA),URS0000DD61BB_9606(tRNA),URS0000DD76A0_9606(tRNA),URS0000DD9917_9606(tRNA),URS0000DDBB99_9606(tRNA),URS0000DE88EC_9606(tRNA),URS0000E0DB98_9606(tRNA),URS0000EC62AA_9606(tRNA),URS0000ED2164_9606(tRNA),URS0001074B50_9606(tRNA),URS00019AB64B_9606(tRNA),URS00019BCB27_9606(tRNA),URS00019C095E_9606(tRNA),URS00019FE6BB_9606(tRNA),URS0001A0044A_9606(tRNA),URS0001BC1FB7_9606(tRNA),URS0001C26227_9606(tRNA),URS0001C3E6CC_9606(tRNA),URS0001CDF064_9606(tRNA),URS0001DF9333_9606(tRNA),URS0002214FF1_9606(tRNA),URS0002269E0F_9606(tRNA)	SM-ONLY	URS00003BE447_9606	0.86
chrMT	4330	4386	+	1277	0	1277	MT-TI(Mt_tRNA),URS00000012EC_9606(tRNA),URS000000DC32_9606(tRNA),URS00000225B7_9606(tRNA),URS000008D191_9606(tRNA),URS00000A2867_9606(tRNA),URS00000A75D2_9606(tRNA),URS00000DFAB7_9606(tRNA),URS00000F6EEF_9606(tRNA),URS00000F70DA_9606(tRNA),URS00001751B9_9606(tRNA),URS000018DD5C_9606(tRNA),URS00001C17EA_9606(tRNA),URS00002375A2_9606(tRNA),URS00002416BA_9606(tRNA),URS000025082B_9606(tRNA),URS0000268D36_9606(tRNA),URS000029799C_9606(tRNA),URS00002DD8DF_9606(tRNA),URS0000301A56_9606(tRNA),URS000035B2D7_9606(tRNA),URS000035D8E2_9606(tRNA),URS0000366CD4_9606(tRNA),URS00003A9CC0_9606(tRNA),URS00003BCE1B_9606(tRNA),URS00003BE447_9606(tRNA),URS00003C4419_9606(tRNA),URS00003DEE1F_9606(tRNA),URS00003EA65E_9606(tRNA),URS00003F05AD_9606(tRNA),URS0000400AFD_9606(tRNA),URS0000455600_9606(tRNA),URS000045DE45_9606(tRNA),URS000047595F_9606(tRNA),URS000048F118_9606(tRNA),URS00004CAA6C_9606(tRNA),URS00004F0373_9606(tRNA),URS000052A3A4_9606(tRNA),URS000058AF3F_9606(tRNA),URS00005B03EF_9606(tRNA),URS00005BC760_9606(tRNA),URS00005D1607_9606(tRNA),URS00005E40B1_9606(tRNA),URS0000602B66_9606(tRNA),URS000060F07A_9606(tRNA),URS000073F530_9606(tRNA),URS000076C388_9606(tRNA),URS000076D7F1_9606(tRNA),URS000076F3F0_9606(tRNA),URS000076FAF1_9606(tRNA),URS0000772095_9606(tRNA),URS0000776367_9606(tRNA),URS000077959F_9606(tRNA),URS0000780DF3_9606(tRNA),URS0000785F64_9606(tRNA),URS00007C40CB_9606(tRNA),URS00007DB19F_9606(tRNA),URS000082F6E4_9606(tRNA),URS000082F8E7_9606(tRNA),URS00009B1A3D_9606(lncRNA),URS00009BCEB9_9606(lncRNA),URS00009C24C1_9606(lncRNA),URS00009C52E9_9606(lncRNA),URS00009E642D_9606(tRNA),URS0000A6A38D_9606(tRNA),URS0000AD97CF_9606(tRNA),URS0000B5BD8D_9606(tRNA),URS0000B8970E_9606(tRNA),URS0000BA48F3_9606(tRNA),URS0000C93A1D_9606(tRNA),URS0000CBCD9D_9606(tRNA),URS0000CBE3E1_9606(tRNA),URS0000DBD6FB_9606(tRNA),URS0000DBE28A_9606(tRNA),URS0000DC56AA_9606(tRNA),URS0000DC62AA_9606(tRNA),URS0000DC8207_9606(tRNA),URS0000DCBD36_9606(tRNA),URS0000DCBECE_9606(tRNA),URS0000DCCD87_9606(tRNA),URS0000DCD0F0_9606(tRNA),URS0000DD21F6_9606(tRNA),URS0000DD3C38_9606(tRNA),URS0000DD4947_9606(tRNA),URS0000DD61BB_9606(tRNA),URS0000DD76A0_9606(tRNA),URS0000DD9917_9606(tRNA),URS0000DDBB99_9606(tRNA),URS0000DE88EC_9606(tRNA),URS0000E0DB98_9606(tRNA),URS0000EC62AA_9606(tRNA),URS0000ED2164_9606(tRNA),URS0001074B50_9606(tRNA),URS00019AB64B_9606(tRNA),URS00019BCB27_9606(tRNA),URS00019C095E_9606(tRNA),URS00019FE6BB_9606(tRNA),URS0001A0044A_9606(tRNA),URS0001BC1FB7_9606(tRNA),URS0001C26227_9606(tRNA),URS0001C3E6CC_9606(tRNA),URS0001CDF064_9606(tRNA),URS0001DF9333_9606(tRNA),URS0002214FF1_9606(tRNA),URS0002269E0F_9606(tRNA)	SM-ONLY	URS00003BE447_9606	0.86
chr13	44917947	44917998	-	457	0	457	URS00003C9A26_9606(tRNA),URS00019D48EB_9606(lncRNA),URS0001BF93FC_9606(tRNA)	SM-ONLY	URS00003C9A26_9606	0.72
chr15	26082254	26082305	-	457	0	457	URS00003C9A26_9606(tRNA),URS00019D48EB_9606(lncRNA),URS0001BF93FC_9606(tRNA)	SM-ONLY	URS00003C9A26_9606	0.72
chr22	39319044	39319113	-	3158	3158	0	RPL3(protein_coding),SNORD43(snoRNA),URS000019516C_9606(piRNA),URS000022EFB6_9606(snoRNA),URS000063F175_9606(snoRNA),URS0000D6DFE9_9606(lncRNA),URS0000D6E3D3_9606(lncRNA),URS0000D6E5F4_9606(lncRNA),URS0000D6E6AD_9606(lncRNA),URS0001BC23F4_9606(snoRNA)	SM-PC	SNORD43	0.91
chr17	28723429	28723498	+	1575	1575	0	RPL23A(protein_coding),SNORD42A(snoRNA),URS0000583A29_9606(snoRNA),URS00006C0C10_9606(snoRNA),URS00006F0D71_9606(snoRNA),URS000075B547_9606(snoRNA),URS000082C6B1_9606(snoRNA),URS0001BC0678_9606(snoRNA),URS0001BC66D6_9606(snoRNA),URS0001BED105_9606(lncRNA),URS00022AE7D9_9606(snoRNA)	SM-PC	URS000082C6B1_9606	0.97
chr6	31835262	31835315	+	1497	1497	0	SNHG32(lncRNA),SNORD48(snoRNA),URS0000712944_9606(snoRNA),URS0000DB6BEA_9606(lncRNA),URS0000DB6ECC_9606(lncRNA),URS0000DB6F39_9606(lncRNA),URS0000DB75BB_9606(lncRNA),URS0000DB830E_9606(lncRNA),URS0000DB8775_9606(lncRNA),URS0000DB9437_9606(lncRNA),URS0000DBB57F_9606(lncRNA),URS0000E60A00_9606(lncRNA),URS0000E60A1F_9606(lncRNA),URS0000E60A4F_9606(lncRNA),URS0000E60AA1_9606(lncRNA),URS0000E60AB7_9606(lncRNA),URS0000E60AE4_9606(lncRNA),URS0000E60AE9_9606(lncRNA),URS0000E60B24_9606(lncRNA),URS0000E60B25_9606(lncRNA),URS0000EA5ADA_9606(lncRNA),URS0000EA9C36_9606(lncRNA),URS0000EF5D28_9606(lncRNA),URS0001962C0B_9606(lncRNA),URS0001BC9A38_9606(snoRNA),URS0001BCAE5F_9606(lncRNA),URS0001BCD55E_9606(lncRNA),URS0001BE7145_9606(lncRNA),URS0001BEFF0E_9606(lncRNA)	SM-ONLY	URS0001BC9A38_9606	0.81
chr20	49278945	49278997	+	1144	1144	0	SNORD12C(snoRNA),URS00000C1202_9606(lncRNA),URS0000114181_9606(lncRNA),URS00001AEC9F_9606(lncRNA),URS00002172FF_9606(lncRNA),URS000023559A_9606(lncRNA),URS0000359B05_9606(snoRNA),URS000045E7E2_9606(lncRNA),URS00004B003D_9606(lncRNA),URS000071403B_9606(snoRNA),URS000078514C_9606(lncRNA),URS00009B1321_9606(lncRNA),URS00009B254D_9606(lncRNA),URS00009B475D_9606(lncRNA),URS0000BC464D_9606(lncRNA),URS0000D57061_9606(lncRNA),URS0000D57BFF_9606(lncRNA),URS0000D581D5_9606(lncRNA),URS0000D58FA8_9606(lncRNA),URS0000D59374_9606(lncRNA),URS0000D59719_9606(lncRNA),URS0000D5A915_9606(lncRNA),URS0000D5B6B6_9606(lncRNA),URS0000D5BA6C_9606(lncRNA),URS0000D5C754_9606(lncRNA),URS0000D5D705_9606(lncRNA),URS0000D5DEE0_9606(lncRNA),URS0000D5E35E_9606(lncRNA),URS0000E9EF51_9606(lncRNA),URS0000EEBD6C_9606(lncRNA),URS0000EEC5E7_9606(lncRNA),URS0000EF03BE_9606(lncRNA),URS0000EF220C_9606(lncRNA),URS0000EF4FA0_9606(lncRNA),URS0001BC182B_9606(snoRNA),URS0001BC4330_9606(snoRNA),URS0001BD5F9D_9606(lncRNA),URS0001BE4A10_9606(lncRNA),URS0001BE5A20_9606(lncRNA),URS0001BE98BC_9606(lncRNA),URS0001BF1393_9606(lncRNA),URS0001D6A50B_9606(lncRNA)	SM-ONLY	URS000071403B_9606	0.69
