chrom	start	end	strand	total_mapped_reads	unique_mapped_reads	shared_reads	feature	annotation_group	best_feature	best_feature_JS
chrGL000220.1	110441	110492	+	2	0	2	RNA18S5(rRNA)	SM-ONLY	RNA18S5	0.36
chrGL000220.1	112130	112184	+	242	0	242	RNA5-8S5(rRNA)	SM-ONLY	RNA5-8S5	0.3
chrGL000220.1	156102	156156	+	242	0	242	RNA5-8S5(rRNA)	SM-ONLY	RNA5-8S5	0.3
chrGL000220.1	115312	115373	+	53	0	53	RNA28S5(rRNA)	SM-ONLY	RNA28S5	0.65
chrGL000220.1	112007	112084	+	49	0	49	RNA5-8S5(rRNA)	SM-ONLY	RNA5-8S5	0.35
chrGL000220.1	155979	156056	+	49	0	49	RNA5-8S5(rRNA)	SM-ONLY	RNA5-8S5	0.35
chr13	45492056	45492133	-	5	1	4	chr13.tRNA3-GluTTC(hg19_tRNAs)	SM-ONLY	chr13.tRNA3-GluTTC	0.92
chr15	26327401	26327452	-	4	0	4	chr15.tRNA11-GluTTC(hg19_tRNAs)	SM-ONLY	chr15.tRNA11-GluTTC	0.72
chr1	16872452	16872504	-	2	0	2	chr1.tRNA133-GlyCCC(hg19_tRNAs)	SM-ONLY	chr1.tRNA133-GlyCCC	0.74
chr1	17188415	17188467	+	2	0	2	chr1.tRNA4-GlyCCC(hg19_tRNAs)	SM-ONLY	chr1.tRNA4-GlyCCC	0.72
chr3	12881898	12881949	-	2	0	2	SNORA7A(snoRNA),ACA7(hg19_snoRna),ENST00000396953(hg19_ensGene),RPL32(protein_coding)	SM-PC	ACA7	0.37
chr3	129116140	129116191	-	2	0	2	ACA7B(hg19_snoRna),SNORA7B(snoRNA)	SM-ONLY	SNORA7B	0.37
chrGL000220.1	116940	116991	+	2	0	2	RNA28S5(rRNA)	SM-ONLY	RNA28S5	0.41
chr1	173835108	173835166	-	43	43	0	GAS5(processed_transcript),U44(hg19_snoRna)	SM-LN	U44	0.94
chr17	62223440	62223491	+	29	29	0	U104(hg19_snoRna),SNORD104(snoRNA)	SM-ONLY	U104	0.69
chr22	39715052	39715118	-	23	23	0	ENST00000453303(hg19_ensGene),U43(hg19_snoRna),SNORD43(snoRNA),FR218523(hg19_F_piRNA),RPL3(protein_coding)	SM-PC	SNORD43	0.95
chr3	186502586	186502658	+	19	19	0	SNORD2(snoRNA),EIF4A2(protein_coding),snR39B(hg19_snoRna)	SM-PC	snR39B	0.93
chr20	47896860	47896912	+	15	15	0	HBII-99B(hg19_snoRna),FR407497(hg19_F_misc),SNORD12B(snoRNA)	SM-ONLY	FR407497	0.67
chr6	31803039	31803091	+	14	14	0	U48(hg19_snoRna),ENST00000375633(hg19_ensGene),SNORD48(snoRNA),C6orf48(protein_coding)	SM-PC	U48	0.8
chr2	232325097	232325149	-	12	12	0	SNORD82(snoRNA),U82(hg19_snoRna),FR075316(hg19_F_piRNA)	SM-ONLY	SNORD82	0.81
chr19	12814431	12814483	-	8	8	0	FR407721(hg19_F_misc)	SM-ONLY	FR407721	0.77
chr20	47895482	47895533	+	8	8	0	SNORD12C(snoRNA),U106(hg19_snoRna)	SM-ONLY	SNORD12C	0.67
chr20	47897224	47897300	+	6	6	0	SNORD12(snoRNA),HBII-99(hg19_snoRna)	SM-ONLY	SNORD12	0.94
chr1	76253573	76253659	+	5	5	0	U45A(hg19_snoRna),RABGGTB(protein_coding),SNORD45A(snoRNA)	SM-PC	SNORD45A	0.99
chr6	86387035	86387086	-	5	5	0	U50(hg19_snoRna),SNHG5(processed_transcript)	SM-LN	U50	0.69
chr13	27829201	27829253	+	5	5	0	U102(hg19_snoRna),SNORD102(snoRNA),RPL21(protein_coding)	SM-PC	U102	0.73
chr3	52725394	52725463	+	5	5	0	SNORD19(snoRNA)	SM-ONLY	SNORD19	0.92
chr1	28905279	28905331	-	4	4	0	SNORD99(snoRNA),HBII-420(hg19_snoRna)	SM-ONLY	SNORD99	0.79
chr3	52726759	52726810	+	3	3	0	SNORD69(snoRNA),HBII-210(hg19_snoRna)	SM-ONLY	SNORD69	0.84
chr19	10220437	10220505	+	3	3	0	FR407663(hg19_F_misc),U105B(hg19_snoRna),SNORD105B(snoRNA)	SM-ONLY	FR407663	0.99
chr17	8124865	8124927	+	3	3	0	chr17.tRNA10-GlyTCC(hg19_tRNAs)	SM-ONLY	chr17.tRNA10-GlyTCC	0.85
chr1	173833305	173833357	-	3	3	0	GAS5(processed_transcript),U81(hg19_snoRna)	SM-LN	U81	0.75
chr6	31804851	31804920	+	3	3	0	ENST00000395788(hg19_ensGene),U52(hg19_snoRna),SNORD52(snoRNA),C6orf48(protein_coding)	SM-PC	SNORD52	0.99
chr16	2205054	2205106	-	2	2	0	SNORD60(snoRNA),U60(hg19_snoRna)	SM-ONLY	SNORD60	0.63
chr19	3982519	3982570	-	2	2	0	U37(hg19_snoRna),SNORD37(snoRNA),EEF2(protein_coding)	SM-PC	U37	0.78
chr3	52722906	52722957	+	2	2	0	GNL3(protein_coding),SNORD19B(snoRNA)	SM-PC	SNORD19B	0.83
chr6	27248070	27248121	-	2	2	0	chr6.tRNA152-ValCAC(hg19_tRNAs)	SM-ONLY	chr6.tRNA152-ValCAC	0.71
chr20	2443613	2443681	-	2	2	0	FR407734(hg19_F_misc),SNORD119(hg19_snoRna),SNORD119(snoRNA)	SM-ONLY	FR407734	0.96
chrMT	12216	12268	+	2	2	0	MT-TS2(Mt_tRNA),MT-TL2(Mt_tRNA)	SM-ONLY	MT-TS2	0.8
chr22	39711225	39711309	-	2	2	0	SNORD83A(snoRNA),U83A(hg19_snoRna)	SM-ONLY	U83A	0.96
