chrom	start	end	strand	total_mapped_reads	unique_mapped_reads	shared_reads	feature	class	annotation_group
chrMT	4401	4452	+	24	0	24	MT-TM(Mt_tRNA)	A	SM-ONLY
chr1	564951	565002	+	24	0	24	NA	U	Novel
chrX	55206613	55206664	-	19	6	13	NA	U	Novel
chr17	19506659	19506710	+	10	0	10	NA	L	Novel
chr1	564881	564932	+	894	144	750	NA	U	Novel
chrMT	4331	4382	+	894	144	750	NA	U	Novel
chr3	129116140	129116191	-	360	108	252	ACA7B(hg19_snoRna),SNORA7B(snoRNA)	A	SM-ONLY
chr3	12881898	12881949	-	354	102	252	ENST00000396953(hg19_ensGene),RPL32(protein_coding),SNORA7A(snoRNA),ACA7(hg19_snoRna)	A	SM-PC
chr13	45492082	45492133	-	341	107	234	chr13.tRNA3-GluTTC(hg19_tRNAs)	A	SM-ONLY
chr15	26327401	26327452	-	339	105	234	chr15.tRNA11-GluTTC(hg19_tRNAs)	A	SM-ONLY
chrGL000220.1	113347	113398	+	59	12	47	RNA28S5(rRNA)	A	SM-ONLY
chrGL000220.1	157319	157370	+	59	20	39	NA	U	Novel
chr3	12881809	12881862	-	7	0	7	ENST00000457131(hg19_ensGene),ENST00000435983(hg19_ensGene),ENST00000396953(hg19_ensGene),ENST00000396957(hg19_ensGene),RPL32(protein_coding),SNORA7A(snoRNA),ACA7(hg19_snoRna)	A	SM-PC
chr3	129116051	129116104	-	7	0	7	ACA7B(hg19_snoRna),SNORA7B(snoRNA)	A	SM-ONLY
chr11	62621389	62621440	-	5472	5472	0	U29(hg19_snoRna),SNHG1(processed_transcript)	A	SM-LN
chr1	173835115	173835166	-	2986	2986	0	GAS5(processed_transcript),U44(hg19_snoRna)	A	SM-LN
chr22	39715066	39715118	-	2211	2211	0	RPL3(protein_coding),ENST00000453303(hg19_ensGene),SNORD43(snoRNA),FR218523(hg19_F_piRNA),U43(hg19_snoRna)	A	SM-PC
chr17	62223440	62223491	+	2112	2112	0	U104(hg19_snoRna),SNORD104(snoRNA)	A	SM-ONLY
chr16	89627836	89627887	+	2068	2068	0	RPL13(protein_coding),HBII-202(hg19_snoRna),SNORD68(snoRNA),FR341694(hg19_F_piRNA)	A	SM-PC
chr20	47896861	47896912	+	1437	1437	0	FR407497(hg19_F_misc),SNORD12B(snoRNA),HBII-99B(hg19_snoRna)	A	SM-ONLY
chr3	186502586	186502638	+	1421	1421	0	EIF4A2(protein_coding),SNORD2(snoRNA),snR39B(hg19_snoRna)	A	SM-PC
chr17	27050447	27050499	+	1103	1103	0	RPL23A(protein_coding),SNORD42A(snoRNA),U42A(hg19_snoRna)	A	SM-PC
