chrom	start	end	strand	total_mapped_reads	unique_mapped_reads	shared_reads	feature	annotation_group	best_feature	best_feature_JS
chr11	62621367	62621441	-	7816	7816	0	SNHG1(processed_transcript),U29(hg19_snoRna)	SM-LN	SNHG1	0.99
chr16	89627836	89627888	+	2844	2844	0	SNORD68(snoRNA),HBII-202(hg19_snoRna),RPL13(protein_coding),FR341694(hg19_F_piRNA)	SM-PC	RPL13	0.78
chr3	186502586	186502639	+	1930	1930	0	SNORD2(snoRNA),EIF4A2(protein_coding),snR39B(hg19_snoRna)	SM-PC	EIF4A2	0.85
chr11	62622786	62622838	-	900	900	0	SNHG1(processed_transcript),U26(hg19_snoRna)	SM-LN	SNHG1	0.84
chr19	51305621	51305673	-	618	618	0	C19orf48(protein_coding),HBII-180C(hg19_snoRna),SNORD88C(snoRNA)	SM-PC	C19orf48	0.7
chr9	35657958	35658017	-	523	523	0	FR119392(hg19_F_misc),FR355912(hg19_F_misc),RMRP(lincRNA),FR260307(hg19_F_misc),FR193707(hg19_F_misc),FR089364(hg19_F_misc),FR215892(hg19_F_misc),FR380380(hg19_F_misc)	SM-LN	RMRP	0.21
chrX	135961381	135961432	-	480	480	0	RBMX(protein_coding),U61(hg19_snoRna),SNORD61(snoRNA)	SM-PC	RBMX	0.9
chr11	62622503	62622555	-	288	288	0	SNHG1(processed_transcript),U27(hg19_snoRna)	SM-LN	SNHG1	0.95
chr20	2637583	2637638	+	277	277	0	U57(hg19_snoRna),FR270731(hg19_F_piRNA),SNORD57(snoRNA),FR004416(hg19_F_piRNA),NOP56(protein_coding)	SM-PC	NOP56	0.76
chr17	16343349	16343401	+	265	265	0	U49A(hg19_snoRna),FAM211A-AS1(processed_transcript)	SM-LN	FAM211A-AS1	0.72
chr11	62620794	62620865	-	255	255	0	SNHG1(processed_transcript),U31(hg19_snoRna)	SM-LN	SNHG1	0.93
chr1	173833991	173834043	-	252	252	0	GAS5(processed_transcript),U80(hg19_snoRna)	SM-LN	GAS5	0.71
chr11	62623052	62623104	-	234	234	0	SNHG1(processed_transcript),FR407753(hg19_F_misc),U25(hg19_snoRna)	SM-LN	SNHG1	0.9
chr18	47017665	47017718	-	173	173	0	U58A(hg19_snoRna),SNORD58A(snoRNA),FR132879(hg19_F_piRNA),RPL17(protein_coding),FR319972(hg19_F_piRNA)	SM-PC	RPL17	0.97
chr1	173835800	173835851	-	132	132	0	GAS5(processed_transcript),U76(hg19_snoRna)	SM-LN	GAS5	0.72
chr1	76252756	76252809	+	126	126	0	SNORD45C(snoRNA),U45C(hg19_snoRna),RABGGTB(protein_coding)	SM-PC	RABGGTB	0.79
chr1	173833503	173833584	-	117	117	0	GAS5(processed_transcript),U47(hg19_snoRna)	SM-LN	GAS5	0.96
chr1	173834515	173834567	-	64	64	0	GAS5(processed_transcript),U79(hg19_snoRna)	SM-LN	GAS5	0.85
chr11	62622089	62622167	-	26	26	0	SNHG1(processed_transcript),U28(hg19_snoRna)	SM-LN	SNHG1	0.95
chr6	86387300	86387376	-	26	26	0	U50B(hg19_snoRna),SNHG5(processed_transcript)	SM-LN	SNHG5	0.91
chr15	66795197	66795249	-	22	22	0	U16(hg19_snoRna),RPL4(protein_coding),SNORD16(snoRNA)	SM-PC	RPL4	0.98
chr11	93466712	93466764	-	14	14	0	TAF1D(protein_coding),ACA18(hg19_snoRna),SNORA18(snoRNA)	SM-PC	TAF1D	0.59
