chrom	start	end	strand	total_mapped_reads	unique_mapped_reads	shared_reads	feature	annotation_group	best_feature	best_feature_JS
chrGL000220.1	109077	109301	+	21	0	21	RNA18S5(rRNA)	SM-ONLY	RNA18S5	0.12
chrGL000220.1	110355	110656	+	5	0	5	RNA18S5(rRNA)	SM-ONLY	RNA18S5	0.37
chr11	93454708	93454738	+	2	0	2	mgU2-19/30(hg19_snoRna),SCARNA9(antisense)	SM-LN	SCARNA9	0.38
chr17	16343348	16343421	+	2388	2388	0	U49A(hg19_snoRna),FAM211A-AS1(processed_transcript)	SM-LN	FAM211A-AS1	0.99
chr22	39715043	39715117	-	585	585	0	ENST00000453303(hg19_ensGene),U43(hg19_snoRna),SNORD43(snoRNA),FR218523(hg19_F_piRNA),RPL3(protein_coding)	SM-PC	RPL3	0.87
chr18	47017644	47017717	-	322	322	0	U58A(hg19_snoRna),SNORD58A(snoRNA),FR132879(hg19_F_piRNA),RPL17(protein_coding),FR319972(hg19_F_piRNA)	SM-PC	RPL17	0.96
chr11	62622481	62622555	-	228	228	0	SNHG1(processed_transcript),U27(hg19_snoRna)	SM-LN	SNHG1	0.96
chr11	62623029	62623103	-	223	223	0	SNHG1(processed_transcript),FR407753(hg19_F_misc),U25(hg19_snoRna)	SM-LN	SNHG1	0.97
chr11	62621377	62621440	-	161	161	0	SNHG1(processed_transcript),U29(hg19_snoRna)	SM-LN	SNHG1	0.98
chrX	135961349	135961432	-	150	150	0	RBMX(protein_coding),U61(hg19_snoRna),SNORD61(snoRNA)	SM-PC	RBMX	0.97
chr18	47018028	47018099	-	140	140	0	ENST00000580210(hg19_ensGene),ENST00000580387(hg19_ensGene),ENST00000418495(hg19_ensGene),ENST00000579408(hg19_ensGene),SNORD58B(snoRNA),FR064000(hg19_F_piRNA),RPL17(protein_coding),U58B(hg19_snoRna)	SM-PC	RPL17	0.92
chr11	62620799	62620864	-	116	116	0	SNHG1(processed_transcript),U31(hg19_snoRna)	SM-LN	SNHG1	0.99
chr17	16344536	16344613	+	116	116	0	FAM211A-AS1(processed_transcript),HBII-135(hg19_snoRna)	SM-LN	FAM211A-AS1	0.96
chr17	16342817	16342891	+	105	105	0	U49B(hg19_snoRna),FAM211A-AS1(processed_transcript)	SM-LN	FAM211A-AS1	0.99
chr8	67834705	67834786	-	95	95	0	SNORD87(sense_overlapping),SNHG6(processed_transcript),HBII-276(hg19_snoRna)	SM-LN	SNHG6	0.99
chr1	173833961	173834043	-	78	78	0	GAS5(processed_transcript),U80(hg19_snoRna)	SM-LN	GAS5	0.92
chr1	173835771	173835851	-	49	49	0	GAS5(processed_transcript),U76(hg19_snoRna)	SM-LN	GAS5	0.96
chr1	173833503	173833582	-	44	44	0	GAS5(processed_transcript),U47(hg19_snoRna)	SM-LN	GAS5	0.94
chr5	180670309	180670378	-	25	25	0	ENST00000502844(hg19_ensGene),GNB2L1(protein_coding),SNORD95(snoRNA),ENST00000513027(hg19_ensGene),U95(hg19_snoRna)	SM-PC	GNB2L1	0.96
chr1	173834419	173834566	-	21	21	0	GAS5(processed_transcript),U79(hg19_snoRna),TCONS_00013744_GAS5(hg19_lincRNAsTranscripts)	SM-LN	GAS5	0.98
chr11	62609093	62609255	-	9	8	1	ENST00000538098(hg19_ensGene),ENST00000525239(hg19_ensGene),ENST00000410396(hg19_snRna),WDR74(protein_coding),RNU2-2P(snRNA)	SM-PC	ENST00000538098	0.88
chr6	86387304	86387376	-	8	8	0	U50B(hg19_snoRna),SNHG5(processed_transcript)	SM-LN	SNHG5	0.96
chr19	49994163	49994229	+	5	5	0	U34(hg19_snoRna),RPL13A(protein_coding),FR297613(hg19_F_piRNA),FR349959(hg19_F_piRNA),SNORD34(snoRNA)	SM-PC	RPL13A	1.0
chr17	2233576	2233658	-	5	5	0	FR321895(hg19_F_piRNA),FR359148(hg19_F_piRNA),HBII-296A(hg19_snoRna),SNORD91A(sense_intronic)	SM-LN	SNORD91A	1.0
chr1	28906891	28907024	-	4	4	0	ACA44(hg19_snoRna),SNHG12(antisense)	SM-LN	SNHG12	0.98
chr1	28906274	28906405	-	3	3	0	FR218973(hg19_F_piRNA),ACA61(hg19_snoRna),SNHG12(antisense)	SM-LN	SNHG12	0.98
chr3	39449879	39450032	+	3	3	0	SNORA6(snoRNA),ACA6(hg19_snoRna),RPSA(protein_coding)	SM-PC	RPSA	1.0
chr11	62622091	62622167	-	2	2	0	SNHG1(processed_transcript),U28(hg19_snoRna)	SM-LN	SNHG1	0.97
chr11	93454983	93455033	+	2	2	0	mgU2-19/30(hg19_snoRna),SCARNA9(antisense)	SM-LN	SCARNA9	0.7
chr17	2232419	2232501	-	2	2	0	SNORD91B(sense_intronic),HBII-296B(hg19_snoRna)	SM-LN	SNORD91B	1.0
chr9	136217700	136217840	+	2	2	0	SNORD36C(snoRNA),U36C(hg19_snoRna),RPL7A(protein_coding),FR372325(hg19_F_piRNA)	SM-PC	RPL7A	0.6
chr9	136216980	136217020	+	2	2	0	RPL7A(protein_coding),U36B(hg19_snoRna),SNORD36B(snoRNA)	SM-PC	RPL7A	0.98
chr13	92003384	92003461	+	2	2	0	hsa-miR-19b-1-5p(hg19_miRNA),FR129211(hg19_F_misc),MIR17HG(processed_transcript)	SM-LN	MIR17HG	0.92
chr9	35657877	35658017	-	2	2	0	FR119392(hg19_F_misc),FR355912(hg19_F_misc),RMRP(lincRNA),FR260307(hg19_F_misc),FR193707(hg19_F_misc),FR089364(hg19_F_misc),FR215892(hg19_F_misc),FR380380(hg19_F_misc)	SM-LN	RMRP	0.52
