chrom	start	end	strand	total_mapped_reads	unique_mapped_reads	shared_reads	feature	class	annotation_group
chrGL000220.1	118371	118418	+	104	7	97	RNA28S5(rRNA)	A	SM-ONLY
chr4	7584319	7584365	+	99	3	96	NA	U	Novel
chr18	77773021	77773067	+	94	0	94	NA	L	Novel
chr9	126813736	126813782	-	87	0	87	NA	L	Novel
chr4	120158646	120158692	+	3	0	3	NA	L	Novel
chr13	45492099	45492133	-	6	0	6	chr13.tRNA3-GluTTC(hg19_tRNAs)	A	SM-ONLY
chr15	26327418	26327452	-	6	0	6	chr15.tRNA11-GluTTC(hg19_tRNAs)	A	SM-ONLY
chr13	41634911	41634945	-	5	0	5	chr13.tRNA5-GluTTC(hg19_tRNAs)	A	SM-ONLY
chr2	131094738	131094772	-	5	0	5	chr2.tRNA20-GluTTC(hg19_tRNAs)	A	SM-ONLY
chr7	148660406	148660501	+	10	6	4	RNY4(misc_RNA)	A	SM-ONLY
chr2	128556538	128556572	-	4	1	3	RNY4P7(misc_RNA)	A	SM-ONLY
chr3	156871336	156871376	+	4	0	4	Y_RNA(misc_RNA)	A	SM-ONLY
chr6	33167377	33167417	+	4	0	4	RNY4P10(misc_RNA)	A	SM-ONLY
chr5	149112429	149112453	+	4	0	4	MIR378A(miRNA),hsa-miR-378a-3p(hg19_miRNA)	A	SM-ONLY
chr3	32027796	32027820	-	4	0	4	NA	U	Novel
chr4	144987866	144987890	+	4	0	4	NA	U	Novel
chr17	62336562	62336586	-	3	0	3	NA	L	Novel
chr1	173833278	173833357	-	687	681	6	GAS5(processed_transcript),U81(hg19_snoRna)	A	SM-LN
chr1	86057966	86058035	+	6	0	6	SNORD81(snoRNA)	A	SM-ONLY
chr12	98269901	98269930	-	4	0	4	NA	L	Novel
chrGL000220.1	113342	113425	+	98	0	98	RNA28S5(rRNA)	A	SM-ONLY
chrGL000220.1	157314	157397	+	98	0	98	NA	U	Novel
chr17	33478242	33478276	-	43	0	43	NA	L	Novel
chr15	89155086	89155112	+	48	0	48	MIR7-2(miRNA),hsa-miR-7-5p(hg19_miRNA)	A	SM-ONLY
chr19	4770711	4770737	+	48	0	48	hsa-miR-7-5p(hg19_miRNA),MIR7-3(miRNA)	A	SM-ONLY
chr9	86584723	86584749	-	48	0	48	MIR7-1(miRNA),HNRNPK(protein_coding),hsa-miR-7-5p(hg19_miRNA),ENST00000481820(hg19_ensGene)	A	SM-PC
chr11	64658671	64658695	-	75	48	27	MIR192(miRNA),hsa-miR-192-5p(hg19_miRNA)	A	SM-ONLY
chr1	220291253	220291277	-	35	16	19	hsa-miR-215-5p(hg19_miRNA),MIR215(miRNA)	A	SM-ONLY
chr4	168429037	168429059	-	8	0	8	NA	L	Novel
chr8	135817158	135817183	-	31	4	27	hsa-miR-30d-5p(hg19_miRNA),MIR30D(miRNA)	A	SM-ONLY
chr6	72113294	72113319	-	30	0	30	hsa-miR-30a-5p(hg19_miRNA),MIR30A(miRNA)	A	SM-ONLY
chr1	41220042	41220067	+	6	2	4	MIR30E(miRNA),hsa-miR-30e-5p(hg19_miRNA)	A	SM-ONLY
chrGL000220.1	109077	109301	+	21	0	21	RNA18S5(rRNA)	A	SM-ONLY
chr21	9827004	9827228	+	21	0	21	NA	U	Novel
chrGL000220.1	153049	153273	+	21	0	21	NA	U	Novel
chr1	149680197	149680280	-	22	7	15	chr1.tRNA91-PseudoCCC(hg19_tRNAs)	A	SM-ONLY
chr1	16872450	16872504	-	18	0	18	chr1.tRNA133-GlyCCC(hg19_tRNAs)	A	SM-ONLY
chr1	17188415	17188469	+	18	0	18	chr1.tRNA4-GlyCCC(hg19_tRNAs)	A	SM-ONLY
chr11	122017273	122017297	-	13	2	11	MIRLET7A2(miRNA),hsa-let-7a-5p(hg19_miRNA)	A	SM-ONLY
chr22	46508631	46508654	+	7	0	7	FLJ27365(protein_coding),FR082415(hg19_F_misc),MIRLET7A3(miRNA),ENST00000360737(hg19_ensGene),hsa-let-7a-5p(hg19_miRNA)	A	SM-PC
chr9	96938243	96938266	+	7	0	7	FR072386(hg19_F_piRNA),MIRLET7A1(miRNA),hsa-let-7a-5p(hg19_miRNA)	A	SM-ONLY
chr10	91352510	91352535	-	8	0	8	hsa-miR-107(hg19_miRNA),MIR107(miRNA)	A	SM-ONLY
chr20	3898187	3898212	+	8	0	8	hsa-miR-103a-3p(hg19_miRNA),MIR103A2(miRNA)	A	SM-ONLY
chr5	167987906	167987931	-	8	0	8	MIR103A1(miRNA),hsa-miR-103a-3p(hg19_miRNA)	A	SM-ONLY
chr14	58706597	58706685	-	5	1	4	chr14.tRNA13-LysCTT(hg19_tRNAs)	A	SM-ONLY
chr15	79152903	79152959	+	4	0	4	chr15.tRNA2-LysCTT(hg19_tRNAs)	A	SM-ONLY
chr16	3241500	3241556	+	4	0	4	chr16.tRNA10-LysCTT(hg19_tRNAs)	A	SM-ONLY
chr13	92002871	92002897	+	7	5	2	hsa-miR-17-5p(hg19_miRNA),FR129211(hg19_F_misc),MIR17HG(processed_transcript)	A	SM-LN
chr7	155568000	155568024	+	2	0	2	ENST00000401878(hg19_ensGene),ENST00000341148(hg19_ensGene),ENST00000392755(hg19_ensGene),RBM33(protein_coding)	A	NO-SM
chrX	133304272	133304296	-	2	0	2	hsa-miR-106a-5p(hg19_miRNA),MIR106A(miRNA)	A	SM-ONLY
chr19	13985723	13985747	+	3	0	3	hsa-miR-181d-5p(hg19_miRNA),MIR181D(miRNA)	A	SM-ONLY
chr1	198828052	198828076	-	3	0	3	hsa-miR-181b-5p(hg19_miRNA),MIR181B1(miRNA)	A	SM-ONLY
chr9	127456003	127456027	+	3	0	3	hsa-miR-181b-5p(hg19_miRNA),MIR181B2(miRNA)	A	SM-ONLY
chr11	59327843	59327884	-	3	0	3	chr11.tRNA14-LysTTT(hg19_tRNAs)	A	SM-ONLY
chr1	204476193	204476234	-	3	0	3	chr1.tRNA62-LysTTT(hg19_tRNAs)	A	SM-ONLY
chr6	28918801	28918842	+	3	0	3	chr6.tRNA76-LysTTT(hg19_tRNAs)	A	SM-ONLY
chr8	141742683	141742706	-	3	1	2	hsa-miR-151a-3p(hg19_miRNA),MIR151A(miRNA)	A	SM-ONLY
chr17	17774282	17774305	+	2	0	2	NA	L	Novel
chr7	151207652	151207675	+	2	0	2	NA	L	Novel
chr12	54385545	54385569	+	3	0	3	MIR196A2(miRNA),hsa-miR-196a-5p(hg19_miRNA)	A	SM-ONLY
chr17	46709891	46709915	-	2	0	2	MIR196A1(miRNA),hsa-miR-196a-5p(hg19_miRNA)	A	SM-ONLY
chr7	27209145	27209168	-	2	0	2	hsa-miR-196b-5p(hg19_miRNA),HOXA9(protein_coding),MIR196B(miRNA)	A	SM-PC
chrGL000220.1	117003	117073	+	2	0	2	RNA28S5(rRNA)	A	SM-ONLY
chrGL000220.1	160975	161045	+	2	0	2	NA	L	Novel
chrX	108297348	108297418	+	2	0	2	NA	L	Novel
chrGL000220.1	112016	112180	+	2174	0	2174	RNA5-8S5(rRNA)	A	SM-ONLY
chrGL000220.1	155988	156152	+	2174	0	2174	RNA5-8S5(rRNA)	A	SM-ONLY
chrGL000220.1	105846	105910	+	93	0	93	NA	U	Novel
chrGL000220.1	149818	149882	+	93	0	93	NA	U	Novel
chr17	57918633	57918658	+	141	139	2	VMP1(protein_coding),hsa-miR-21-5p(hg19_miRNA),MIR21(miRNA)	A	SM-PC
chr4	158512134	158512159	-	2	0	2	NA	L	Novel
chr7	25989538	25989563	-	123	121	2	hsa-miR-148a-3p(hg19_miRNA),MIR148A(miRNA)	A	SM-ONLY
chr2	200481759	200481782	-	2	0	2	NA	L	Novel
chr17	46657263	46657288	-	59	5	54	HOXB4(protein_coding),ENST00000332503(hg19_ensGene),hsa-miR-10a-5p(hg19_miRNA),MIR10A(sense_intronic)	A	SM-PC-LN
chr2	177015056	177015080	+	59	5	54	MIR10B(miRNA),hsa-miR-10b-5p(hg19_miRNA)	A	SM-ONLY
chr12	62997470	62997494	+	60	55	5	MIRLET7I(miRNA),hsa-let-7i-5p(hg19_miRNA)	A	SM-ONLY
chr5	111692768	111692790	-	4	0	4	NA	L	Novel
chr12	58218437	58218462	-	27	0	27	hsa-miR-26a-5p(hg19_miRNA),MIR26A2(miRNA)	A	SM-ONLY
chr3	38010903	38010928	+	27	0	27	hsa-miR-26a-5p(hg19_miRNA),MIR26A1(miRNA)	A	SM-ONLY
chr3	52302349	52302373	-	43	36	7	MIRLET7G(miRNA),hsa-let-7g-5p(hg19_miRNA)	A	SM-ONLY
chr7	41179310	41179333	-	5	0	5	NA	L	Novel
chr13	92003614	92003639	+	23	1	22	hsa-miR-92a-3p(hg19_miRNA),FR129211(hg19_F_misc),MIR17HG(processed_transcript)	A	SM-LN
chrX	133303571	133303595	-	22	0	22	MIR92A2(miRNA),hsa-miR-92a-3p(hg19_miRNA)	A	SM-ONLY
chr9	96938634	96938658	+	16	0	16	hsa-let-7f-5p(hg19_miRNA),MIRLET7F1(miRNA),FR210409(hg19_F_piRNA)	A	SM-ONLY
chrX	53584204	53584228	-	16	0	16	MIRLET7F2(miRNA),hsa-let-7f-5p(hg19_miRNA)	A	SM-ONLY
chr11	64658872	64658897	-	14	0	14	hsa-miR-194-5p(hg19_miRNA),MIR194-2(lincRNA)	A	SM-LN
chr1	220291544	220291569	-	14	0	14	MIR194-1(miRNA),hsa-miR-194-5p(hg19_miRNA)	A	SM-ONLY
chrGL000220.1	110842	110891	+	13	0	13	RNA18S5(rRNA)	A	SM-ONLY
chrGL000220.1	154814	154863	+	13	0	13	NA	U	Novel
chr10	69524342	69524362	+	21	18	3	NA	U	Novel
chr11	131935698	131935720	+	3	0	3	NA	L	Novel
chr1	207975208	207975231	-	11	0	11	C1orf132(processed_transcript),hsa-miR-29c-3p(hg19_miRNA)	A	SM-LN
chr7	130561505	130561528	-	11	0	11	MIR29A(lincRNA),hsa-miR-29a-3p(hg19_miRNA)	A	SM-LN
chr22	46509570	46509595	+	13	5	8	FLJ27365(protein_coding),hsa-let-7b-5p(hg19_miRNA),FR082415(hg19_F_misc),ENST00000360737(hg19_ensGene),MIRLET7B(miRNA)	A	SM-PC
chr21	17912157	17912181	+	8	0	8	hsa-let-7c-5p(hg19_miRNA),MIRLET7C(miRNA),FR271551(hg19_F_piRNA)	A	SM-ONLY
chr14	104583804	104583830	+	12	8	4	MIR203(miRNA),hsa-miR-203a(hg19_miRNA)	A	SM-ONLY
chr1	213675792	213675815	+	4	0	4	NA	L	Novel
chr1	41222971	41222995	+	8	0	8	MIR30C1(miRNA),hsa-miR-30c-5p(hg19_miRNA)	A	SM-ONLY
chr6	72086704	72086728	-	8	0	8	MIR30C2(miRNA),hsa-miR-30c-5p(hg19_miRNA)	A	SM-ONLY
chrGL000220.1	115312	115372	+	7	0	7	RNA28S5(rRNA)	A	SM-ONLY
chrGL000220.1	159284	159344	+	7	0	7	NA	U	Novel
chrGL000220.1	110355	110656	+	5	0	5	RNA18S5(rRNA)	A	SM-ONLY
chrGL000220.1	154327	154628	+	5	0	5	NA	U	Novel
chr7	129414803	129414828	-	6	4	2	MIR183(miRNA),hsa-miR-183-5p(hg19_miRNA)	A	SM-ONLY
chrX	131700090	131700114	-	2	0	2	NA	L	Novel
chrMT	597	738	+	4	1	3	MT-RNR1(Mt_rRNA),MT-TF(Mt_tRNA)	A	SM-ONLY
chr2	149639297	149639389	-	3	0	3	FR227782(hg19_F_piRNA),FR319486(hg19_F_piRNA)	A	SM-ONLY
chr1	31408534	31408618	-	3	0	3	U103(hg19_snoRna),FR259362(hg19_F_piRNA),SNORD103A(snoRNA)	A	SM-ONLY
chr1	31421963	31422047	-	3	0	3	SNORD103B(snoRNA),U103B(hg19_snoRna)	A	SM-ONLY
chr1	198828233	198828259	-	3	0	3	MIR181A1(miRNA),hsa-miR-181a-5p(hg19_miRNA)	A	SM-ONLY
